filename	color	micro_category	macro_category	macro_category(english)			
35154736FEF.jpg	BRONZO	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35157444XDF.jpg	PLATINO	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35157749QFF.jpg	NOCCIOLA	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35165506NDF.jpg	ORO	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35167181CRF.jpg	ANTRACITE	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35167181WDF.jpg	NERO	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35167245WPF.jpg	GRIGIO CHIARO	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
35167505QTF.jpg	COLONIALE	GONNA PELLE	ABBIGLIAMENTO PELLE	leather			
36274729LDF.jpg	BORDEAUX	PANTALONE PELLE	ABBIGLIAMENTO PELLE	leather			
36281227XNF.jpg	VERDE PETROLIO	PANTALONE PELLE	ABBIGLIAMENTO PELLE	leather			
36282126BOF.jpg	CAMMELLO	PANTALONE PELLE	ABBIGLIAMENTO PELLE	leather			
36289950FMF.jpg	TORTORA	PANTALONE PELLE	ABBIGLIAMENTO PELLE	leather			
36292843AAF.jpg	MARRONE	PANTALONE PELLE	ABBIGLIAMENTO PELLE	leather			
36299122JMF.jpg	MARRONE	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
37311244ELF.jpg	BRONZO	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
37336782EPF.jpg	TORTORA	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
37343116HOF.jpg	CAMMELLO	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
41222641DIF.jpg	BRONZO	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
41241518UGF.jpg	GIALLO CHIARO	CAPISPALLA PELLICCIA	ABBIGLIAMENTO PELLE	leather			
41242022IWF.jpg	ORO	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
41244237XWF.jpg	RUGGINE	CAPOSPALLA PELLE	ABBIGLIAMENTO PELLE	leather			
